Regioncode;RegionName;iso3;Country
MEA;Middle East North Africa Afghanistan & Pakistan;AFG;Afghanistan
MEA;Middle East North Africa Afghanistan & Pakistan;ARE;United Arab Emirates
MEA;Middle East North Africa Afghanistan & Pakistan;BHR;Bahrain
MEA;Middle East North Africa Afghanistan & Pakistan;DJI;Djibouti
MEA;Middle East North Africa Afghanistan & Pakistan;DZA;Algeria
MEA;Middle East North Africa Afghanistan & Pakistan;EGY;Egypt
MEA;Middle East North Africa Afghanistan & Pakistan;IRN;Iran
MEA;Middle East North Africa Afghanistan & Pakistan;IRQ;Iraq
MEA;Middle East North Africa Afghanistan & Pakistan;ISR;Israel
MEA;Middle East North Africa Afghanistan & Pakistan;JOR;Jordan
MEA;Middle East North Africa Afghanistan & Pakistan;KWT;Kuwait
MEA;Middle East North Africa Afghanistan & Pakistan;LBN;Lebanon
MEA;Middle East North Africa Afghanistan & Pakistan;LBY;Libya
MEA;Middle East North Africa Afghanistan & Pakistan;MAR;Morocco
MEA;Middle East North Africa Afghanistan & Pakistan;MLT;Malta
MEA;Middle East North Africa Afghanistan & Pakistan;OMN;Oman
MEA;Middle East North Africa Afghanistan & Pakistan;PAK;Pakistan
MEA;Middle East North Africa Afghanistan & Pakistan;QAT;Qatar
MEA;Middle East North Africa Afghanistan & Pakistan;SAU;Saudi Arabia
MEA;Middle East North Africa Afghanistan & Pakistan;SYR;Syria
MEA;Middle East North Africa Afghanistan & Pakistan;TUN;Tunisia
MEA;Middle East North Africa Afghanistan & Pakistan;YEM;Yemen
MEA;Middle East North Africa Afghanistan & Pakistan;PSE;Palestine